"plot_id","genus","specie","family","dbh","h"
25,"Allophyllus","edulis","Sapindaceae",17,13.5
25,"Araucaria","angustifolia","Araucariaceae",25,16.5
25,"Matayba","elaeagnoides","Sapindaceae",18,13
25,"Casearia","sylvestris","Salicaceae",11,11.5
25,"Matayba","elaeagnoides","Sapindaceae",18,13.5
25,"Dahlstedtia","floribunda","Fabaceae",11,10.5
25,"Cinnamomum","amoenum","Lauraceae",21,16
25,"Casearia","sylvestris","Salicaceae",6,7
25,"Casearia","sylvestris","Salicaceae",9,10
26,"Ilex","brevicuspis","Aquifoliaceae",40,17.5
26,"Cupania","vernalis","Sapindaceae",8,8
26,"Casearia","sylvestris","Salicaceae",6,6
26,"Casearia","sylvestris","Salicaceae",15,11
26,"Matayba","elaeagnoides","Sapindaceae",26,13
26,"Casearia","sylvestris","Salicaceae",6,6.5
26,"Cupania","vernalis","Sapindaceae",18,12
26,"Casearia","sylvestris","Salicaceae",5,7.5
26,"Casearia","sylvestris","Salicaceae",12,11.5
26,"Allophyllus","edulis","Sapindaceae",11,11
26,"Cinnamomum","sellowianum","Lauraceae",20,16
26,"Dicksonia","sellowiana","Dicksoniaceae",16,1.8
26,"Myrsine","umbellata","Primulaceae",21,13
26,"Casearia","sylvestris","Salicaceae",7,7.5
26,"Cordyline","spectabilis","Asparagaceae",5,2.5
26,"Cabralea","canjerana","Meliaceae",5,6
26,"Ilex","brevicuspis","Aquifoliaceae",22,16
26,"Myrcia","splendens","Myrtaceae",12,14
26,"Casearia","decandra","Salicaceae",9,9
26,"Cupania","vernalis","Sapindaceae",8,9.5
26,"Cupania","vernalis","Sapindaceae",16,12.5
26,"Cinnamomum","sellowianum","Lauraceae",30,17.5
26,"Allophyllus","edulis","Sapindaceae",13,12.5
27,"Ilex","brevicuspis","Aquifoliaceae",24,16
27,"Matayba","elaeagnoides","Sapindaceae",13,10
27,"Campomanesia","xanthocarpa","Myrtaceae",6,8
27,"Campomanesia","xanthocarpa","Myrtaceae",5,7.5
27,"Campomanesia","xanthocarpa","Myrtaceae",12,11.5
27,"Ocotea","silvestris","Lauraceae",5,6.5
27,"Jacaranda","puberula","Bignoniaceae",15,10
27,"Cinnamomum","sellowianum","Lauraceae",21,16
27,"Coutarea","hexandra","Rubiaceae",5,4
27,"Myrsine","umbellata","Primulaceae",10,8
27,"Ilex","brevicuspis","Aquifoliaceae",34,18
27,"Matayba","elaeagnoides","Sapindaceae",12,8.5
27,"Dahlstedtia","floribunda","Fabaceae",8,9
27,"Cupania","vernalis","Sapindaceae",7,9
27,"Prunus","brasiliensis","Rosaceae",28,16.5
27,"Jacaranda","puberula","Bignoniaceae",9,8
27,"Ilex","paraguariensis","Aquifoliaceae",10,10
27,"Matayba","elaeagnoides","Sapindaceae",8,8
27,"Prunus","brasiliensis","Rosaceae",11,8.5
28,"Ocotea","porosa","Lauraceae",23,17
28,"Alsophila","setosa","Cyatheacaceae",14,3.5
28,"Campomanesia","xanthocarpa","Myrtaceae",12,12
28,"Ocotea","porosa","Lauraceae",39,21
28,"Prunus","brasiliensis","Rosaceae",34,17
28,"Ilex","brevicuspis","Aquifoliaceae",24,16
28,"Ilex","brevicuspis","Aquifoliaceae",26,16
28,"Cyathea","corcovadensis","Cyatheacaceae",17,1.8
28,"Ilex","theizans","Aquifoliaceae",12,10.5
28,"Persea","major","Lauraceae",14,12
28,"Persea","major","Lauraceae",15,14
28,"Myrsine","umbellata","Primulaceae",9,8
28,"Ilex","theizans","Aquifoliaceae",11,8.5
28,"Matayba","elaeagnoides","Sapindaceae",15,14
28,"Persea","major","Lauraceae",19,10.5
28,"Persea","major","Lauraceae",11,12
28,"Campomanesia","xanthocarpa","Myrtaceae",8,11
28,"Jacaranda","puberula","Bignoniaceae",13,11
28,"Drimys","brasiliensis","Winteraceae",7,6
28,"Prunus","brasiliensis","Rosaceae",17,13.5
28,"Prunus","brasiliensis","Rosaceae",17,13
