plot;tree;dbh;h;family;specie
12;176;5,729577951;3,5;Melastomataceae;Miconia sp1
12;177;7,957747155;4,5;Sapotaceae;Pouteria torta
12;178;5,729577951;3,5;Vochysiaceae;Qualea grandiflora
12;179;5,729577951;3,5;Vochysiaceae;Qualea grandiflora
12;180;8,276057041;3,5;Vochysiaceae;Qualea grandiflora
12;181;17,18873385;8;Sapotaceae;Pouteria torta
12;182;5,729577951;5;Vochysiaceae;Qualea grandiflora
12;183;10,02676141;28,5;Sapindaceae;Matayba elaegnoides
12;184;6,68450761;2;Myrtaceae;Myrcia sp1
12;185;15,91549431;10;Vochysiaceae;Qualea grandiflora
12;186;19,89436789;10;Fabaceae;Leptolobium elegans
12;187;5,092958179;3,5;Rubiaceae;Alibertia edulis
12;188;6,68450761;4;Rubiaceae;Alibertia edulis
12;189;6,207042781;3,5;Vochysiaceae;Qualea grandiflora
12;190;8,276057041;4,5;Lythraceae;Lafoensia pacari
12;191;22,75915686;12;Vochysiaceae;Vochysia cinnamomea
12;192;13,52817016;6;Malvaceae;Eriotheca gracilipes
12;193;7,798592212;7;Vochysiaceae;Qualea parviflora
12;194;12,41408556;6;Sapotaceae;Pouteria torta
12;195;7,798592212;7;Vochysiaceae;Qualea grandiflora
12;196;5,411268065;8;Vochysiaceae;Qualea parviflora
12;198;10,98169107;8;Sapindaceae;Magonia pubescens
12;199;7,639437268;6;Calophyllaceae;Kielmeyera coriacea
12;200;15,91549431;8;Vochysiaceae;Qualea grandiflora
12;201;14,64225476;7,5;Vochysiaceae;Qualea grandiflora
12;202;13,05070533;7;Vochysiaceae;Qualea parviflora
13;203;6,525352667;7;Sapindaceae;Magonia pubescens
13;204;11,77746579;5;Malvaceae;Eriotheca gracilipes
13;205;16,71126902;8;Vochysiaceae;Qualea grandiflora
13;206;13,36901522;8;Fabaceae;Leptolobium elegans
13;207;10,50422624;6;Fabaceae;Dimorphandra mollis
13;208;6,366197724;7;Sapindaceae;Magonia pubescens
13;209;13,05070533;12;Fabaceae;Leptolobium elegans
13;210;5,252113122;6;Fabaceae;Bauhinia ungulata
13;211;14,00563499;7;Malvaceae;Eriotheca gracilipes
13;212;13,68732511;9;Fabaceae;Vatairea macrocarpa
13;213;14,00563499;7;Vochysiaceae;Qualea grandiflora
13;214;5,092958179;2,5;Vochysiaceae;Qualea parviflora
13;215;8,276057041;6;Sapindaceae;Magonia pubescens
13;216;12,73239545;8;Fabaceae;Leptolobium elegans
13;217;12,41408556;32;Malpighiaceae;Byrsonima pachyphylla
13;218;26,10141067;9;Vochysiaceae;Qualea grandiflora
13;219;6,047887837;3;Proteaceae;Roupala montana
13;220;7,002817496;6;Malpighiaceae;Byrsonima coccolobifolia
13;221;6,68450761;4,5;Sapindaceae;Magonia pubescens
14;222;9,230986699;8;Sapindaceae;Matayba elaegnoides
14;223;4,774648293;2,5;Fabaceae;Leptolobium elegans
14;225;5,411268065;3;Vochysiaceae;Qualea parviflora
14;226;5,411268065;4;Fabaceae;Bauhinia ungulata
14;227;7,957747155;9;Fabaceae;Bauhinia ungulata
14;228;4,774648293;6;Combretaceae;Terminalia argentea
14;229;26,41972055;8;Vochysiaceae;Qualea parviflora
14;230;5,411268065;2,5;Lythraceae;Lafoensia pacari
14;231;5,092958179;4;Rubiaceae;Alibertia edulis
14;232;14,00563499;6;Ebenaceae;Diospyros hispida
14;233;6,047887837;3,5;Fabaceae;Leptolobium elegans
14;234;7,957747155;4,5;Fabaceae;Leptolobium elegans
14;235;8,276057041;6;Vochysiaceae;Qualea grandiflora
14;236;6,68450761;7;Combretaceae;Terminalia argentea
14;237;6,68450761;3,5;Vochysiaceae;Qualea grandiflora
14;238;9,867606472;7;Fabaceae;Leptolobium elegans
14;239;4,774648293;3;Fabaceae;Leptolobium elegans
14;240;9,071831756;5;Sapindaceae;Matayba elaegnoides
14;243;6,366197724;4,5;Sapindaceae;Matayba elaegnoides
14;244;38,67465117;15;Vochysiaceae;Qualea parviflora
15;245;5,411268065;2,5;Rubiaceae;Alibertia edulis
15;246;5,570423008;4,5;Rubiaceae;Alibertia edulis
15;247;6,68450761;2,5;Ebenaceae;Diospyros hispida
15;248;7,639437268;2,5;Ochnaceae;Ouratea hexasperma
15;249;6,047887837;3,5;Rubiaceae;Alibertia edulis
15;250;6,207042781;7;Fabaceae;Bauhinia ungulata
15;252;24,50986124;15;Fabaceae;Leptolobium elegans
15;254;9,867606472;3,5;Sapotaceae;Pouteria ramiflora
15;255;8,594366927;3;Ochnaceae;Ouratea hexasperma
15;256;12,09577567;10;Vochysiaceae;Qualea parviflora
15;257;13,36901522;7;Vochysiaceae;Qualea grandiflora
15;258;8,594366927;6;Vochysiaceae;Qualea grandiflora
15;259;8,75352187;7;Fabaceae;Leptolobium elegans
15;260;6,68450761;3;Myrtaceae;Myrcia sp1
15;261;8,912676813;8;Fabaceae;Leptolobium elegans
15;262;5,729577951;3,5;Calophyllaceae;Kielmeyera coriacea
15;263;13,52817016;8,5;Ebenaceae;Diospyros hispida
16;264;6,366197724;2,5;Ochnaceae;Ouratea hexasperma
16;265;7,957747155;5;Annonaceae;Annona crassiflora
16;266;22,28169203;12;Fabaceae;Leptolobium elegans
16;267;7,002817496;2,5;Proteaceae;Roupala montana
16;268;14,96056465;5;Malpighiaceae;Byrsonima pachyphylla
16;270;8,116902098;6;Sapotaceae;Pouteria ramiflora
16;271;10,82253613;7;Vochysiaceae;Qualea grandiflora
16;272;7,480282325;6,5;Rubiaceae;Alibertia edulis
16;273;6,843662553;3,5;Myrtaceae;Myrcia sp1
16;274;11,30000096;6;Vochysiaceae;Qualea grandiflora
16;275;7,321127382;5;Melastomataceae;Miconia sp1
16;276;9,867606472;4,5;Calophyllaceae;Kielmeyera coriacea
16;277;5,729577951;2,5;Vochysiaceae;Vochysia cinnamomea
16;278;9,867606472;6,5;Fabaceae;Leptolobium elegans
16;279;6,366197724;3,5;Myrtaceae;Myrcia sp1
16;280;7,002817496;5;Vochysiaceae;Qualea grandiflora
16;281;14,00563499;2;Malvaceae;Eriotheca gracilipes
16;282;5,888732894;5;Melastomataceae;Miconia sp1
16;283;6,047887837;2,5;Proteaceae;Roupala montana
17;284;7,002817496;6;Sapindaceae;Matayba elaegnoides
17;285;16,87042397;15;Vochysiaceae;Qualea parviflora
17;286;6,047887837;6;Sapindaceae;Matayba elaegnoides
17;287;18,78028328;8;Fabaceae;Leptolobium elegans
17;288;4,774648293;4;Sapindaceae;Matayba elaegnoides
17;289;8,276057041;8;Fabaceae;Vatairea macrocarpa
17;290;33,42253805;16;Combretaceae;Terminalia argentea
17;291;14,64225476;10;Vochysiaceae;Qualea parviflora
17;292;5,092958179;6;Rubiaceae;Alibertia edulis
17;293;9,230986699;7;Sapindaceae;Matayba elaegnoides
17;295;5,729577951;2,5;Sapindaceae;Matayba elaegnoides
17;296;13,36901522;6;Malpighiaceae;Byrsonima coccolobifolia
17;297;7,321127382;6;Sapindaceae;Matayba elaegnoides
17;298;14,00563499;7;Vochysiaceae;Qualea parviflora
17;299;9,867606472;3;Malpighiaceae;Byrsonima verbascifolia
17;300;7,639437268;4;Myrtaceae;Myrcia sp1
17;302;5,411268065;3,5;Sapindaceae;Matayba elaegnoides
17;303;11,4591559;8;Vochysiaceae;Qualea parviflora
17;304;8,276057041;6;Sapindaceae;Matayba elaegnoides
18;305;5,411268065;4;Fabaceae;Leptolobium elegans
18;306;7,639437268;4;Fabaceae;Dimorphandra mollis
18;307;10,18591636;8;Fabaceae;Leptolobium elegans
18;308;10,18591636;8;Fabaceae;Dipteryx alata
18;309;16,87042397;8;Vochysiaceae;Qualea parviflora
18;311;8,594366927;2,5;Arecaceae;Syagrus flexuosa
18;312;10,50422624;2,5;Myrtaceae;Eugenia aurata
18;313;7,798592212;5;Myrtaceae;Eugenia aurata
18;314;9,230986699;6;Rubiaceae;Alibertia edulis
18;315;16,39295914;16;Fabaceae;Tachigali aurea
18;316;7,957747155;3,5;Myrtaceae;Psidium laruotteanum
18;317;7,002817496;6,5;Fabaceae;Leptolobium elegans
18;318;8,912676813;6,5;Combretaceae;Buchenavia tomentosa
18;319;7,002817496;3,5;Bignoniaceae;Tabebuia aurea
18;320;15,59718442;14,5;Fabaceae;Tachigali aurea
18;321;7,798592212;6,5;Annonaceae;Annona crassiflora
18;322;8,276057041;6;Myrtaceae;Myrcia sp1
18;323;13,68732511;9;Fabaceae;Tachigali aurea
18;324;11,4591559;9;Proteaceae;Roupala montana
18;325;16,55211408;15;Fabaceae;Dimorphandra mollis
18;326;7,321127382;5;Vochysiaceae;Qualea grandiflora
18;327;5,252113122;2;Myrtaceae;Myrcia sp1
18;328;11,77746579;11;Malpighiaceae;Byrsonima coccolobifolia
18;329;10,18591636;3,5;Myrtaceae;Myrcia sp1
18;330;28,32957987;14;Vochysiaceae;Qualea grandiflora
18;331;5,411268065;6;Rubiaceae;Alibertia edulis
19;332;4,774648293;4,5;Combretaceae;Terminalia argentea
19;333;5,092958179;2;Salicaceae;Casearia sylvestris
19;334;11,14084602;8;Vochysiaceae;Qualea grandiflora
19;336;11,77746579;7;Vochysiaceae;Qualea grandiflora
19;337;7,161972439;6;Malpighiaceae;Byrsonima coccolobifolia
19;338;5,252113122;3;Sapindaceae;Matayba elaegnoides
19;339;17,50704374;10;Fabaceae;Machaerium acutifoium
19;341;6,68450761;2,5;Fabaceae;Anadenanthera falcata
19;342;7,321127382;3;Vochysiaceae;Qualea grandiflora
19;343;7,639437268;2,5;Vochysiaceae;Qualea grandiflora
19;344;5,888732894;4;Myrtaceae;Myrcia sp1
19;345;5,252113122;7;Fabaceae;Bauhinia rufa
19;346;14,64225476;10;Annonaceae;Annona crassiflora
19;348;14,32394488;9;Fabaceae;Machaerium acutifoium
19;349;9,549296586;5;Vochysiaceae;Qualea grandiflora
19;350;6,68450761;5;Vochysiaceae;Qualea grandiflora
19;351;7,957747155;5;Vochysiaceae;Qualea grandiflora
19;352;8,276057041;5;Vochysiaceae;Qualea grandiflora
19;353;9,867606472;6;Vochysiaceae;Qualea grandiflora
20;354;6,68450761;4,5;Fabaceae;Leptolobium elegans
20;355;5,092958179;5;Fabaceae;Leptolobium elegans
20;356;7,321127382;6;Fabaceae;Leptolobium elegans
20;357;7,321127382;6;Fabaceae;Leptolobium elegans
20;358;5,411268065;5;Rubiaceae;Alibertia edulis
20;359;5,092958179;5;Fabaceae;Bauhinia ungulata
20;360;7,161972439;3;Myrtaceae;Eugenia punicifolia
20;361;7,002817496;6;Malvaceae;Eriotheca gracilipes
20;362;16,2338042;12;Caryocaraceae;Caryocar brasiliense
20;363;5,252113122;2,5;Ochnaceae;Ouratea spectabilis
20;364;6,047887837;3,5;Fabaceae;Leptolobium elegans
20;365;6,366197724;3,5;Rubiaceae;Alibertia edulis
20;366;5,092958179;4,5;Sapindaceae;Matayba elaegnoides
20;367;6,047887837;2,5;Sapindaceae;Matayba elaegnoides
20;368;16,55211408;6,5;Fabaceae;Dimorphandra mollis
20;369;5,411268065;4;Fabaceae;Leptolobium elegans
20;370;8,276057041;6;Fabaceae;Leptolobium elegans
20;371;9,549296586;3;Myrtaceae;Myrcia sp1
20;372;7,161972439;6;Fabaceae;Leptolobium elegans
20;373;7,639437268;3;Fabaceae;Leptolobium elegans
20;374;6,366197724;4;Lythraceae;Lafoensia pacari
20;375;7,002817496;2,5;Sapotaceae;Pouteria torta
20;376;8,594366927;4;Connaraceae;Connarus suberosus
20;377;7,002817496;3,5;Fabaceae;Leptolobium elegans
20;379;9,071831756;5;Malpighiaceae;Byrsonima pachyphylla
20;380;8,912676813;7;Vochysiaceae;Qualea parviflora
20;381;6,047887837;4,5;Fabaceae;Leptolobium elegans
20;382;5,729577951;3,5;Fabaceae;Leptolobium elegans
20;383;9,549296586;2,5;Myrtaceae;Myrcia sp1
20;384;14,32394488;9;Annonaceae;Annona coriacea
21;385;8,276057041;4,5;Myrtaceae;Myrcia sp1
21;386;17,3478888;8;Malpighiaceae;Byrsonima pachyphylla
21;387;7,321127382;6;Malpighiaceae;Byrsonima coccolobifolia
